Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,year,month,Day,flight_time,Duration(sec)
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55 02 Mar,39h 5m,2,No info,17135,2019,1,3,morning,140700
Air India,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,08:55 02 Mar,21h 5m,1,1 Long layover,14594,2019,1,3,morning,75900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,07:40 02 Mar,17h 35m,1,1 Long layover,22270,2019,1,3,afternoon,63300
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,05:05 02 Mar,22h 5m,1,No info,26890,2019,1,3,morning,79500
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,18:25,21:20,2h 55m,0,No info,12649,2019,1,3,evening,10500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,16:10,8h 10m,1,No info,22270,2019,1,3,morning,29400
Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4h 40m,1,Business class,57209,2019,1,3,morning,16800
IndiGo,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,4h 55m,1,No info,9694,2019,1,3,afternoon,17700
Air India,01/03/2019,Banglore,New Delhi,BLR → AMD → DEL,00:30,23:55,23h 25m,1,1 Long layover,12599,2019,1,3,mid_night,84300
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → DEL,11:05,09:15 02 Mar,22h 10m,1,No info,13439,2019,1,3,morning,79800
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,07:40 02 Mar,14h 45m,1,1 Long layover,26890,2019,1,3,afternoon,53100
Air India,01/03/2019,Banglore,New Delhi,BLR → VGA → DEL,10:30,22:55,12h 25m,1,No info,11003,2019,1,3,morning,44700
IndiGo,01/03/2019,Banglore,New Delhi,BLR → DEL,07:10,10:05,2h 55m,0,No info,11934,2019,1,3,morning,10500
Air India,01/03/2019,Banglore,New Delhi,BLR → VGA → HYD → DEL,10:30,21:25,10h 55m,2,No info,11213,2019,1,3,morning,39300
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,05:05 02 Mar,17h 25m,1,No info,22270,2019,1,3,morning,62700
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 02 Mar,17h 30m,1,1 Long layover,25735,2019,1,3,afternoon,63000
Air India,01/03/2019,Banglore,New Delhi,BLR → VGA → DEL,10:30,11:20 02 Mar,24h 50m,1,No info,11528,2019,1,3,morning,89400
Air India,01/03/2019,Banglore,New Delhi,BLR → DEL,06:10,08:55,2h 45m,0,No info,15676,2019,1,3,morning,9900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,07:40 02 Mar,20h,1,No info,22270,2019,1,3,morning,72000
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → IDR → DEL,06:45,11:10 02 Mar,28h 25m,2,No info,20999,2019,1,3,morning,102300
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,16:10,9h 10m,1,No info,26890,2019,1,3,morning,33000
Air Asia,01/03/2019,Banglore,New Delhi,BLR → DEL,23:25,02:10 02 Mar,2h 45m,0,Red-eye flight,10873,2019,1,3,evening,9900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,11:25 02 Mar,23h 45m,1,No info,25735,2019,1,3,morning,85500
Air India,01/03/2019,Banglore,New Delhi,BLR → CCU → DEL,05:50,09:15 02 Mar,27h 25m,1,No info,13439,2019,1,3,mid_night,98700
SpiceJet,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,15:35,23:40,8h 5m,1,1 Long layover,7744,2019,1,3,afternoon,29100
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,00:45 02 Mar,6h 5m,1,No info,35185,2019,1,3,evening,21900
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,21:20 02 Mar,22h 30m,1,No info,25735,2019,1,3,evening,81000
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,20:20,14h 35m,1,No info,27992,2019,1,3,mid_night,52500
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1,No info,26890,2019,1,3,morning,22800
